Brix,Refraktometerindex,Rel. Dichte,Zucker g/l,Zucker g/kg
73.2,1.47335,1.3791,927.5,672.6
73.3,1.47360,1.3797,929.2,673.5
73.4,1.47385,1.3804,930.9,674.3
73.5,1.47410,1.3811,932.6,675.2
73.6,1.47435,1.3818,934.3,676.1
73.7,1.47460,1.3825,935.9,677.0
73.8,1.47485,1.3831,937.6,677.9
73.9,1.47510,1.3838,939.3,678.8
74.0,1.47535,1.3845,941.0,679.7
74.1,1.47560,1.3852,942.7,680.6
74.2,1.47585,1.3859,944.4,681.4
74.3,1.47610,1.3865,946.1,682.3
74.4,1.47635,1.3872,947.8,683.2
74.5,1.47661,1.3879,949.5,684.1
74.6,1.47686,1.3886,951.2,685.0
74.7,1.47711,1.3893,952.9,685.9
74.8,1.47736,1.3899,954.6,686.8
74.9,1.47761,1.3906,956.3,687.7
